GEOID,crimes
29510101100,23
29510101200,15
29510101300,44
29510101400,61
29510101500,101
29510101800,72
29510102100,41
29510102200,28
29510102300,11
29510102400,30
29510102500,15
29510103100,12
29510103400,13
29510103600,31
29510103700,31
29510103800,12
29510104200,28
29510104500,46
29510105198,66
29510105200,35
29510105300,48
29510105400,35
29510105500,52
29510106100,102
29510106200,95
29510106300,72
29510106400,69
29510106500,63
29510106600,80
29510106700,97
29510107200,39
29510107300,116
29510107400,64
29510107500,81
29510107600,67
29510108100,64
29510108200,46
29510108300,77
29510109600,137
29510109700,155
29510110100,80
29510110200,82
29510110300,82
29510110400,58
29510110500,83
29510111100,47
29510111200,48
29510111300,51
29510111400,47
29510111500,87
29510112100,81
29510112200,51
29510112300,84
29510112400,127
29510113500,42
29510114101,47
29510114102,36
29510114200,35
29510114300,35
29510115100,63
29510115200,69
29510115300,73
29510115400,27
29510115500,139
29510115600,116
29510115700,111
29510116100,52
29510116200,35
29510116301,42
29510116302,75
29510116400,249
29510116500,112
29510117100,28
29510117200,41
29510117400,70
29510118100,31
29510118400,37
29510118600,109
29510119101,33
29510119102,30
29510119200,17
29510119300,56
29510120200,33
29510121100,42
29510121200,60
29510123100,84
29510123200,58
29510123300,64
29510124100,197
29510124200,82
29510124300,88
29510124600,63
29510125500,337
29510125600,850
29510125700,144
29510126600,162
29510126700,60
29510126800,35
29510126900,160
29510127000,84
29510127100,52
29510127200,41
29510127300,95
29510127400,209
29510127500,146
29510127600,88
